Component,Metric,Value
cache,lookup_hits,7541484
cache,lookup_misses,4
cache,refresh_calls,4
cache,refresh_seconds,1.90901
cache,sionna_calculation_calls,4
cache,sionna_calculation_seconds,0.714603
cache,pybind_conversion_records,80
cache,spectrum_channel_matrix_calls,1885372
cache,spectrum_channel_matrix_seconds,51.8608
cache,port_cfr_cache_hits,1884135
cache,port_cfr_cache_misses,32686
cache,port_cfr_seconds,12.8659
cache,effective_gain_cache_hits,1843486
cache,effective_gain_cache_misses,41886
cache,effective_gain_seconds,45.6453
cache,scaled_matrix_cache_hits,10437
cache,scaled_matrix_cache_misses,1874935
python,cpp_pybind_conversion_records,80
python,cpp_pybind_conversion_seconds,0.081713
python,propagation_calculation_calls,4
python,propagation_calculation_receiver_count,80
python,python_cfr_seconds,0.215287
python,python_export_seconds,0.229229
python,python_initialize_seconds,2.39495
python,python_path_solve_seconds,0.165589
python,python_perform_calculation_seconds,0.632624
phased_model,do_calc_rx_psd_calls,4446420
phased_model,do_calc_rx_psd_seconds,101.669
phased_model,effective_gain_fast_path_calls,1885372
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,47.3008
