Component,Metric,Value
cache,lookup_hits,27456008
cache,lookup_misses,4
cache,refresh_calls,4
cache,refresh_seconds,1.43877
cache,sionna_calculation_calls,4
cache,sionna_calculation_seconds,0.321642
cache,pybind_conversion_records,80
cache,spectrum_channel_matrix_calls,6864003
cache,spectrum_channel_matrix_seconds,36.1904
cache,port_cfr_cache_hits,6852105
cache,port_cfr_cache_misses,32706
cache,port_cfr_seconds,2.47166
cache,effective_gain_cache_hits,6817117
cache,effective_gain_cache_misses,46886
cache,effective_gain_seconds,35.1398
cache,scaled_matrix_cache_hits,26078
cache,scaled_matrix_cache_misses,6837925
python,cpp_pybind_conversion_records,80
python,cpp_pybind_conversion_seconds,0.00963536
python,propagation_calculation_calls,4
python,propagation_calculation_receiver_count,80
python,python_cfr_seconds,0.0558363
python,python_export_seconds,0.084079
python,python_initialize_seconds,2.35398
python,python_path_solve_seconds,0.148235
python,python_perform_calculation_seconds,0.311806
phased_model,do_calc_rx_psd_calls,15345660
phased_model,do_calc_rx_psd_seconds,83.1923
phased_model,effective_gain_fast_path_calls,6864003
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,40.4364
