Component,Metric,Value
cache,lookup_hits,5466632
cache,lookup_misses,4
cache,refresh_calls,4
cache,refresh_seconds,2.00057
cache,sionna_calculation_calls,4
cache,sionna_calculation_seconds,0.790862
cache,pybind_conversion_records,80
cache,spectrum_channel_matrix_calls,1366659
cache,spectrum_channel_matrix_seconds,42.945
cache,port_cfr_cache_hits,1355439
cache,port_cfr_cache_misses,31032
cache,port_cfr_seconds,12.3908
cache,effective_gain_cache_hits,1332507
cache,effective_gain_cache_misses,34152
cache,effective_gain_seconds,32.1708
cache,scaled_matrix_cache_hits,14340
cache,scaled_matrix_cache_misses,1352319
python,cpp_pybind_conversion_records,80
python,cpp_pybind_conversion_seconds,0.0814973
python,propagation_calculation_calls,4
python,propagation_calculation_receiver_count,80
python,python_cfr_seconds,0.246696
python,python_export_seconds,0.253734
python,python_initialize_seconds,2.43205
python,python_path_solve_seconds,0.175798
python,python_perform_calculation_seconds,0.709076
phased_model,do_calc_rx_psd_calls,3405340
phased_model,do_calc_rx_psd_seconds,78.4622
phased_model,effective_gain_fast_path_calls,1366659
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,33.3757
