Component,Metric,Value
cache,lookup_hits,1995808
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.331201
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0651278
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,595377
cache,spectrum_channel_matrix_seconds,1.35083
cache,port_cfr_cache_hits,590053
cache,port_cfr_cache_misses,26340
cache,port_cfr_seconds,0.19983
cache,effective_gain_cache_hits,553937
cache,effective_gain_cache_misses,41440
cache,effective_gain_seconds,0.801706
cache,scaled_matrix_cache_hits,20424
cache,scaled_matrix_cache_misses,574953
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000353425
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.003589
python,python_export_seconds,0.0107953
python,python_initialize_seconds,2.272
python,python_path_solve_seconds,0.0442215
python,python_perform_calculation_seconds,0.0647369
phased_model,do_calc_rx_psd_calls,1401300
phased_model,do_calc_rx_psd_seconds,2.65743
phased_model,effective_gain_fast_path_calls,595377
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,1.02351
