Component,Metric,Value
cache,lookup_hits,3040478
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.334387
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0662351
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,907055
cache,spectrum_channel_matrix_seconds,3.16383
cache,port_cfr_cache_hits,915510
cache,port_cfr_cache_misses,30217
cache,port_cfr_seconds,0.932869
cache,effective_gain_cache_hits,861198
cache,effective_gain_cache_misses,45857
cache,effective_gain_seconds,2.53883
cache,scaled_matrix_cache_hits,7185
cache,scaled_matrix_cache_misses,899870
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000687777
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.00502954
python,python_export_seconds,0.0134631
python,python_initialize_seconds,2.30814
python,python_path_solve_seconds,0.0420267
python,python_perform_calculation_seconds,0.0655129
phased_model,do_calc_rx_psd_calls,2130560
phased_model,do_calc_rx_psd_seconds,6.48464
phased_model,effective_gain_fast_path_calls,907055
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,2.84407
