Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,697,0,0,0,13.924,24.924,24,25,2,2,2,0,-inf,0,0,20.8251,18.7,21
2,699,0,0,0,8.93562,15.1159,12,22,2,2,2,0,-inf,0,0,9.99242,5.9,16.3
3,729,0,0,0,14,25.251,25,26,2,2,2,0,-inf,0,0,21,21,21
4,688,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,720,0,0,0,14.2833,25.5667,25,27,2,2,2,0,-inf,0,0,21.4817,21,22.7
6,679,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
7,675,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,706,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
9,685,0,0,0,10,17.2818,17,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
10,662,0,0,0,4.29154,6.29154,6,7,2,2,2,0,-inf,0,0,0.84139,0.2,2.4
11,659,0,0,0,5.29287,8.24431,7,9,2,2,2,0,-inf,0,0,2.95645,2.4,4.3
21,656,0,0,0,11.471,20.6479,18,27,2,2,2,0,-inf,0,0,14.9363,11.7,22.7
22,233,0,0,0,14.6996,26.3991,25,27,2,2,2,0,-inf,0,0,22.1893,21,22.7
23,232,0,0,0,14.3017,25.6034,25,27,2,2,2,0,-inf,0,0,21.5129,21,22.7
24,509,0,0,0,11.2024,20.1041,18,25,2,2,2,0,-inf,0,0,14.4955,11.7,21
25,460,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,93,0,0,0,12.6129,23.2258,18,24,2,2,2,0,-inf,0,0,17.7774,11.7,18.7
27,319,0,0,0,11.3793,20.7586,18,22,2,2,2,0,-inf,0,0,14.8724,11.7,16.3
28,337,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,335,0,0,0,10.9224,19.5373,18,23,2,2,2,0,-inf,0,0,13.8522,11.7,18.7
