Component,Metric,Value
cache,lookup_hits,1542722
cache,lookup_misses,2
cache,refresh_calls,2
cache,refresh_seconds,0.803399
cache,sionna_calculation_calls,2
cache,sionna_calculation_seconds,0.188588
cache,pybind_conversion_records,40
cache,spectrum_channel_matrix_calls,385681
cache,spectrum_channel_matrix_seconds,4.1638
cache,port_cfr_cache_hits,362789
cache,port_cfr_cache_misses,25627
cache,port_cfr_seconds,2.17045
cache,effective_gain_cache_hits,358994
cache,effective_gain_cache_misses,26687
cache,effective_gain_seconds,1.89854
cache,scaled_matrix_cache_hits,23952
cache,scaled_matrix_cache_misses,361729
python,cpp_pybind_conversion_records,40
python,cpp_pybind_conversion_seconds,0.00646594
python,propagation_calculation_calls,2
python,propagation_calculation_receiver_count,40
python,python_cfr_seconds,0.0199319
python,python_export_seconds,0.0572613
python,python_initialize_seconds,2.45045
python,python_path_solve_seconds,0.093093
python,python_perform_calculation_seconds,0.182003
phased_model,do_calc_rx_psd_calls,864500
phased_model,do_calc_rx_psd_seconds,6.73756
phased_model,effective_gain_fast_path_calls,385681
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,2.20607
