Component,Metric,Value
cache,lookup_hits,8167510
cache,lookup_misses,2
cache,refresh_calls,2
cache,refresh_seconds,0.792783
cache,sionna_calculation_calls,2
cache,sionna_calculation_seconds,0.178686
cache,pybind_conversion_records,40
cache,spectrum_channel_matrix_calls,2041878
cache,spectrum_channel_matrix_seconds,13.2713
cache,port_cfr_cache_hits,2041108
cache,port_cfr_cache_misses,33016
cache,port_cfr_seconds,2.72374
cache,effective_gain_cache_hits,2001882
cache,effective_gain_cache_misses,39996
cache,effective_gain_seconds,13.6288
cache,scaled_matrix_cache_hits,7750
cache,scaled_matrix_cache_misses,2034128
python,cpp_pybind_conversion_records,40
python,cpp_pybind_conversion_seconds,0.00611085
python,propagation_calculation_calls,2
python,propagation_calculation_receiver_count,40
python,python_cfr_seconds,0.0174601
python,python_export_seconds,0.050384
python,python_initialize_seconds,2.4073
python,python_path_solve_seconds,0.0937059
python,python_perform_calculation_seconds,0.172475
phased_model,do_calc_rx_psd_calls,4820780
phased_model,do_calc_rx_psd_seconds,30.6567
phased_model,effective_gain_fast_path_calls,2041878
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,15.2378
