Component,Metric,Value
cache,lookup_hits,5544439
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.389842
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0814529
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,1386110
cache,spectrum_channel_matrix_seconds,4.78375
cache,port_cfr_cache_hits,1374968
cache,port_cfr_cache_misses,31101
cache,port_cfr_seconds,0.604168
cache,effective_gain_cache_hits,1352469
cache,effective_gain_cache_misses,33641
cache,effective_gain_seconds,3.0141
cache,scaled_matrix_cache_hits,13682
cache,scaled_matrix_cache_misses,1372428
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000505472
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.00660538
python,python_export_seconds,0.0137125
python,python_initialize_seconds,2.42916
python,python_path_solve_seconds,0.0558319
python,python_perform_calculation_seconds,0.0809091
phased_model,do_calc_rx_psd_calls,3418920
phased_model,do_calc_rx_psd_seconds,10.2982
phased_model,effective_gain_fast_path_calls,1386110
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,4.09028
