Component,Metric,Value
cache,lookup_hits,1543791
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.408174
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.107804
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,385948
cache,spectrum_channel_matrix_seconds,1.36935
cache,port_cfr_cache_hits,361378
cache,port_cfr_cache_misses,25576
cache,port_cfr_seconds,0.486454
cache,effective_gain_cache_hits,359872
cache,effective_gain_cache_misses,26076
cache,effective_gain_seconds,0.538122
cache,scaled_matrix_cache_hits,25070
cache,scaled_matrix_cache_misses,360878
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000385536
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.0444961
python,python_export_seconds,0.0069615
python,python_initialize_seconds,2.42257
python,python_path_solve_seconds,0.051159
python,python_perform_calculation_seconds,0.10739
phased_model,do_calc_rx_psd_calls,867560
phased_model,do_calc_rx_psd_seconds,2.46959
phased_model,effective_gain_fast_path_calls,385948
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,0.811765
