Component,Metric,Value
cache,lookup_hits,32770918
cache,lookup_misses,2
cache,refresh_calls,2
cache,refresh_seconds,0.697347
cache,sionna_calculation_calls,2
cache,sionna_calculation_seconds,0.138938
cache,pybind_conversion_records,40
cache,spectrum_channel_matrix_calls,8192730
cache,spectrum_channel_matrix_seconds,25.5932
cache,port_cfr_cache_hits,8182329
cache,port_cfr_cache_misses,33746
cache,port_cfr_seconds,0.595958
cache,effective_gain_cache_hits,8146685
cache,effective_gain_cache_misses,46045
cache,effective_gain_seconds,14.2339
cache,scaled_matrix_cache_hits,22700
cache,scaled_matrix_cache_misses,8170030
python,cpp_pybind_conversion_records,40
python,cpp_pybind_conversion_seconds,0.00077776
python,propagation_calculation_calls,2
python,propagation_calculation_receiver_count,40
python,python_cfr_seconds,0.0146632
python,python_export_seconds,0.0262505
python,python_initialize_seconds,2.33989
python,python_path_solve_seconds,0.0855768
python,python_perform_calculation_seconds,0.13808
phased_model,do_calc_rx_psd_calls,17486960
phased_model,do_calc_rx_psd_seconds,54.3096
phased_model,effective_gain_fast_path_calls,8192730
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,20.5105
