Component,Metric,Value
cache,lookup_hits,1098907
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.322706
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0630525
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,327838
cache,spectrum_channel_matrix_seconds,1.63777
cache,port_cfr_cache_hits,330735
cache,port_cfr_cache_misses,27096
cache,port_cfr_seconds,0.841789
cache,effective_gain_cache_hits,288162
cache,effective_gain_cache_misses,39676
cache,effective_gain_seconds,0.822596
cache,scaled_matrix_cache_hits,9683
cache,scaled_matrix_cache_misses,318155
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000691249
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.0046575
python,python_export_seconds,0.0118242
python,python_initialize_seconds,2.23157
python,python_path_solve_seconds,0.0413254
python,python_perform_calculation_seconds,0.0623268
phased_model,do_calc_rx_psd_calls,781520
phased_model,do_calc_rx_psd_seconds,2.72822
phased_model,effective_gain_fast_path_calls,327838
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,0.928878
