Component,Metric,Value
cache,lookup_hits,1995604
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.353059
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.099038
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,595333
cache,spectrum_channel_matrix_seconds,8.22415
cache,port_cfr_cache_hits,589819
cache,port_cfr_cache_misses,26253
cache,port_cfr_seconds,3.79906
cache,effective_gain_cache_hits,554160
cache,effective_gain_cache_misses,41173
cache,effective_gain_seconds,5.70498
cache,scaled_matrix_cache_hits,20434
cache,scaled_matrix_cache_misses,574899
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.00563094
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.013904
python,python_export_seconds,0.033152
python,python_initialize_seconds,2.29508
python,python_path_solve_seconds,0.0420391
python,python_perform_calculation_seconds,0.0933503
phased_model,do_calc_rx_psd_calls,1402320
phased_model,do_calc_rx_psd_seconds,14.5242
phased_model,effective_gain_fast_path_calls,595333
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,5.94327
