Component,Metric,Value
cache,lookup_hits,3024286
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.354614
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0944921
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,902192
cache,spectrum_channel_matrix_seconds,11.066
cache,port_cfr_cache_hits,909470
cache,port_cfr_cache_misses,30145
cache,port_cfr_seconds,4.33173
cache,effective_gain_cache_hits,856767
cache,effective_gain_cache_misses,45425
cache,effective_gain_seconds,8.86491
cache,scaled_matrix_cache_hits,8002
cache,scaled_matrix_cache_misses,894190
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.00517178
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.0112153
python,python_export_seconds,0.0311466
python,python_initialize_seconds,2.26986
python,python_path_solve_seconds,0.0418174
python,python_perform_calculation_seconds,0.0892675
phased_model,do_calc_rx_psd_calls,2126780
phased_model,do_calc_rx_psd_seconds,20.8562
phased_model,effective_gain_fast_path_calls,902192
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,9.22268
