Component,Metric,Value
cache,lookup_hits,1082927
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.35459
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.103653
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,323024
cache,spectrum_channel_matrix_seconds,0.743221
cache,port_cfr_cache_hits,325995
cache,port_cfr_cache_misses,26837
cache,port_cfr_seconds,0.196601
cache,effective_gain_cache_hits,283747
cache,effective_gain_cache_misses,39277
cache,effective_gain_seconds,0.35143
cache,scaled_matrix_cache_hits,9469
cache,scaled_matrix_cache_misses,313555
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000371393
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.0364293
python,python_export_seconds,0.00865112
python,python_initialize_seconds,2.25546
python,python_path_solve_seconds,0.0518279
python,python_perform_calculation_seconds,0.103244
phased_model,do_calc_rx_psd_calls,768840
phased_model,do_calc_rx_psd_seconds,1.34846
phased_model,effective_gain_fast_path_calls,323024
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,0.458221
