Component,Metric,Value
cache,lookup_hits,2546734
cache,lookup_misses,6
cache,refresh_calls,6
cache,refresh_seconds,2.80122
cache,sionna_calculation_calls,6
cache,sionna_calculation_seconds,1.10693
cache,pybind_conversion_records,132
cache,spectrum_channel_matrix_calls,636685
cache,spectrum_channel_matrix_seconds,19.6366
cache,port_cfr_cache_hits,479795
cache,port_cfr_cache_misses,24951
cache,port_cfr_seconds,9.18588
cache,effective_gain_cache_hits,608614
cache,effective_gain_cache_misses,28071
cache,effective_gain_seconds,6.81636
cache,scaled_matrix_cache_hits,160010
cache,scaled_matrix_cache_misses,476675
python,cpp_pybind_conversion_records,132
python,cpp_pybind_conversion_seconds,0.149938
python,propagation_calculation_calls,6
python,propagation_calculation_receiver_count,132
python,python_cfr_seconds,0.291632
python,python_export_seconds,0.396284
python,python_initialize_seconds,2.33544
python,python_path_solve_seconds,0.230051
python,python_perform_calculation_seconds,0.956538
phased_model,do_calc_rx_psd_calls,1274420
phased_model,do_calc_rx_psd_seconds,27.6386
phased_model,effective_gain_fast_path_calls,636685
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,7.3503
